milestone_key	checkpoint_months	domain	text
se-02-1	2	social_emotional	Calms down when spoken to or picked up
se-02-2	2	social_emotional	Looks at your face
se-02-3	2	social_emotional	Seems happy to see you when you walk up to her
se-02-4	2	social_emotional	Smiles when you talk to or smile at her
lang-02-1	2	language	Makes sounds other than crying
lang-02-2	2	language	Reacts to loud sounds
cog-02-1	2	cognitive	Watches you as you move
cog-02-2	2	cognitive	Looks at a toy for several seconds
mov-02-1	2	movement	Holds head up when on tummy
mov-02-2	2	movement	Moves both arms and both legs
mov-02-3	2	movement	Opens hands briefly
se-04-1	4	social_emotional	Smiles on his own to get your attention
se-04-2	4	social_emotional	Chuckles (not yet a full laugh) when you try to make him laugh
se-04-3	4	social_emotional	Looks at you, moves, or makes sounds to get or keep your attention
lang-04-1	4	language	Makes sounds like “oooo”, “aahh” (cooing)
lang-04-2	4	language	Makes sounds back when you talk to him
lang-04-3	4	language	Turns head towards the sound of your voice
cog-04-1	4	cognitive	If hungry, opens mouth when he sees breast or bottle
cog-04-2	4	cognitive	Looks at her hands with interest
mov-04-1	4	movement	Holds head steady without support when you are holding him
mov-04-2	4	movement	Holds a toy when you put it in his hand
mov-04-3	4	movement	Uses his arm to swing at toys
mov-04-4	4	movement	Brings hands to mouth
mov-04-5	4	movement	Pushes up onto elbows/forearms when on tummy
se-06-1	6	social_emotional	Knows familiar people
se-06-2	6	social_emotional	Likes to look at self in a mirror
se-06-3	6	social_emotional	Laughs
lang-06-1	6	language	Takes turns making sounds with you
lang-06-2	6	language	Blows “raspberries” (sticks tongue out and blows)
lang-06-3	6	language	Makes squealing noises
cog-06-1	6	cognitive	Puts things in her mouth to explore them
cog-06-2	6	cognitive	Reaches to grab a toy she wants
cog-06-3	6	cognitive	Closes lips to show she doesn’t want more food
mov-06-1	6	movement	Rolls from tummy to back
mov-06-2	6	movement	Pushes up with straight arms when on tummy
mov-06-3	6	movement	Leans on hands to support herself when sitting
se-09-1	9	social_emotional	Is shy, clingy, or fearful around strangers
